sample_barcode,sample_type,tcga_code,file_id,file_name
TCGA-XU-AAY1-01A,Primary Tumor,TCGA-THYM,c4865851-99ac-47e0-8adc-fb1f6f073771,027f9b14-fd21-4add-96f2-2ea8c0085ae8.rna_seq.augmented_star_gene_counts.tsv
TCGA-3Q-A9WF-01A,Primary Tumor,TCGA-THYM,d5a4c96b-0e61-4d21-8309-934f0a1f5fe8,4d1c10d8-35cd-4c1d-9898-a88a9d4adf80.rna_seq.augmented_star_gene_counts.tsv
TCGA-4V-A9QX-01A,Primary Tumor,TCGA-THYM,a634f5c9-752e-48e1-8e55-f301e020224a,126b7b61-d15d-4e95-bd54-01ee20b86e31.rna_seq.augmented_star_gene_counts.tsv
TCGA-X7-A8M5-01A,Primary Tumor,TCGA-THYM,69899e4b-8293-4973-aecc-d2fc1c67fed4,e711d2a9-df13-4e09-8e62-33a75e1f21b2.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-A936-01A,Primary Tumor,TCGA-THYM,5e054ba3-7705-4f04-9fea-81e6e2305912,15906514-3140-44dc-9999-e4f508676186.rna_seq.augmented_star_gene_counts.tsv
TCGA-5V-A9RR-01A,Primary Tumor,TCGA-THYM,52c09d3c-b5a4-4310-8c1f-63808bb120f7,7d8bb8b7-8e2f-4440-b83e-f73ca51372d9.rna_seq.augmented_star_gene_counts.tsv
TCGA-XM-A8RB-01A,Primary Tumor,TCGA-THYM,a38d8021-9400-4972-a996-740fa66d715f,56409e6d-e9d6-4ef6-b6a5-33642a84ef6c.rna_seq.augmented_star_gene_counts.tsv
TCGA-ZL-A9V6-01A,Primary Tumor,TCGA-THYM,1c60eef3-9856-4bce-a873-546b1251240d,75e187b4-76dd-4ada-8316-59a798e5b14a.rna_seq.augmented_star_gene_counts.tsv
TCGA-XM-A8R8-01A,Primary Tumor,TCGA-THYM,61ff49e6-bdb1-447b-aa18-b20dda2fe165,8a1d2b6f-e67a-444d-9591-f12d5c64b87a.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-A932-01A,Primary Tumor,TCGA-THYM,90a8f8b9-af48-440e-ace2-7d566c0ea90e,6ca03307-395c-4b32-a1c2-1d3171791639.rna_seq.augmented_star_gene_counts.tsv
TCGA-4V-A9QN-01A,Primary Tumor,TCGA-THYM,193fe8df-d115-45b4-9e43-7932e3af5eb9,505219b8-91dd-4b64-be0c-15a391c27dff.rna_seq.augmented_star_gene_counts.tsv
TCGA-ZB-A965-01A,Primary Tumor,TCGA-THYM,71d5f8e6-3f89-4dba-a997-1cd28d78bee9,f201b51f-7f4b-42a5-951a-a5f1b634baf3.rna_seq.augmented_star_gene_counts.tsv
TCGA-ZB-A96B-01A,Primary Tumor,TCGA-THYM,8c1f9f83-5113-4a6e-ba96-4229122b688a,684938e6-20e4-4f0f-a6bf-3fde13dd9ec2.rna_seq.augmented_star_gene_counts.tsv
TCGA-ZB-A96E-01A,Primary Tumor,TCGA-THYM,19dd9c54-9df2-4bf3-917f-93ef90243f5e,23d0b823-585e-43ec-9e3a-daa6640c2452.rna_seq.augmented_star_gene_counts.tsv
TCGA-X7-A8D6-11A,Solid Tissue Normal,TCGA-THYM,aa312284-657d-4a55-a7d9-a05d08faab2a,4202e326-1d5d-4a48-bac1-cf1fd4924515.rna_seq.augmented_star_gene_counts.tsv
TCGA-XM-A8RD-01A,Primary Tumor,TCGA-THYM,103827b9-c66b-4121-8303-68f273bb6271,b0849afc-20a9-492e-b7df-6c71b5adf996.rna_seq.augmented_star_gene_counts.tsv
TCGA-3G-AB14-01A,Primary Tumor,TCGA-THYM,88ba0fe4-8b4f-44cd-b4b7-65791b83d7a6,0f8afde2-dd70-4b72-9f03-350f559b58ee.rna_seq.augmented_star_gene_counts.tsv
TCGA-X7-A8DF-01A,Primary Tumor,TCGA-THYM,b7bf15d4-6200-49f3-a99a-1ea6199731b5,6a289e25-f763-4b6d-a500-d3088fe551bc.rna_seq.augmented_star_gene_counts.tsv
TCGA-4V-A9QR-01A,Primary Tumor,TCGA-THYM,5987064d-7b16-4035-91c2-51df9d186ab7,4a3afaf2-48a3-419e-9166-7e83747570d8.rna_seq.augmented_star_gene_counts.tsv
TCGA-4X-A9FA-01A,Primary Tumor,TCGA-THYM,be3dc606-3bc5-444f-ba1a-bb7a835cf563,eb2ec8a8-723a-4387-a03b-ebe453d9e737.rna_seq.augmented_star_gene_counts.tsv
TCGA-ZB-A96C-01A,Primary Tumor,TCGA-THYM,b7271895-7c2b-49e5-966f-4d4a59aaedfe,36365c53-ee11-429a-854b-8cea18618d3d.rna_seq.augmented_star_gene_counts.tsv
TCGA-X7-A8D7-11A,Solid Tissue Normal,TCGA-THYM,9802559f-436d-4a6f-a98c-4652475bc5d4,323f4d00-a374-4398-aa8f-137de14ae7b5.rna_seq.augmented_star_gene_counts.tsv
TCGA-X7-A8DG-01A,Primary Tumor,TCGA-THYM,82245a8d-f349-463d-b6f9-9dc346b8f7fc,f6a110b8-132f-44b2-84e6-e50793585a0e.rna_seq.augmented_star_gene_counts.tsv
TCGA-4V-A9QU-01A,Primary Tumor,TCGA-THYM,43562dda-f0fb-48d0-95dd-bf42e04d0c97,09a4aa76-9d33-4dc8-9145-b050ddd6a8d0.rna_seq.augmented_star_gene_counts.tsv
TCGA-ZB-A96H-01A,Primary Tumor,TCGA-THYM,46b4e3bb-cfa7-49c1-8e40-07788f032333,c93df1a3-a601-4b49-ae1b-962dd17f37f5.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-A92Z-01A,Primary Tumor,TCGA-THYM,d8423822-2247-49e8-b862-864874fd8f37,f0b48238-65c8-46dd-b638-56481a495d39.rna_seq.augmented_star_gene_counts.tsv
TCGA-XM-A8RI-01A,Primary Tumor,TCGA-THYM,845c50b6-a9d7-4f71-98be-a76ef721e221,c8bdbc5d-e927-4dae-ad02-5e8f7de25ef2.rna_seq.augmented_star_gene_counts.tsv
TCGA-3G-AB0Q-01A,Primary Tumor,TCGA-THYM,d8ac99d8-1334-48a4-82e8-fe63281c9699,122ad5c7-bfc9-454d-9e07-13886d83bc3e.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-AAXW-01A,Primary Tumor,TCGA-THYM,94d2e422-ea4c-4ed4-8236-0f0d1d2fcb41,3ebd2911-77fb-496f-8fb0-eb3929a65322.rna_seq.augmented_star_gene_counts.tsv
TCGA-X7-A8M8-01A,Primary Tumor,TCGA-THYM,27dd8231-2798-4471-b85c-bfba128f9c4e,e48bc23e-d3ef-4542-9a85-f4c327e7da43.rna_seq.augmented_star_gene_counts.tsv
TCGA-XM-A8RE-01A,Primary Tumor,TCGA-THYM,89064061-e7d4-4e8f-917b-315473981828,ac49e04d-46d6-420f-ba10-ae09a7480eba.rna_seq.augmented_star_gene_counts.tsv
TCGA-X7-A8D9-01A,Primary Tumor,TCGA-THYM,b19d9c55-6555-4bba-a7b2-35b41f5bac63,60f7683a-59c1-49a0-99a3-c242c06c270f.rna_seq.augmented_star_gene_counts.tsv
TCGA-X7-A8M6-01A,Primary Tumor,TCGA-THYM,a3a52216-97ab-401d-8b1a-c7f4f857f8c8,b7a4deb1-2e62-4a53-9bfa-ec696c376caa.rna_seq.augmented_star_gene_counts.tsv
TCGA-ZB-A96K-01A,Primary Tumor,TCGA-THYM,c0b9df58-61a7-4027-bb4a-2b607ba2130b,ccb778e2-643f-4bd9-8622-28bd5bdf6e80.rna_seq.augmented_star_gene_counts.tsv
TCGA-ZB-A96L-01A,Primary Tumor,TCGA-THYM,fa526dc1-ff8f-4777-a0d2-c49d2ed08e7a,1bdda3c1-7c39-404a-afae-ff77025a2361.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-A92Q-01A,Primary Tumor,TCGA-THYM,db6e8f24-50ed-45ce-a4f1-16bd019bc3aa,75c74eb5-f778-4126-b382-96b01f3c4c03.rna_seq.augmented_star_gene_counts.tsv
TCGA-4V-A9QW-01A,Primary Tumor,TCGA-THYM,1a699686-fb25-48be-ba0c-67c237ee4294,d861ec86-0ee8-4f68-ae62-13d0c6e48357.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-A92T-01A,Primary Tumor,TCGA-THYM,f945aa8b-2f66-4a33-afc7-9085f7fbd6a6,7bd204d2-7d76-4217-9481-deca10ee42d9.rna_seq.augmented_star_gene_counts.tsv
TCGA-4X-A9FC-01A,Primary Tumor,TCGA-THYM,154a9a2a-a8f1-4584-9e8d-4757e807c7b4,d56ec333-f5c8-4e54-9df7-6053b1bb88ac.rna_seq.augmented_star_gene_counts.tsv
TCGA-3T-AA9L-01A,Primary Tumor,TCGA-THYM,97fbb6a3-89a7-4200-aa31-708bc6eb1609,5c1f7ded-006d-4ce2-bcbf-fd78a8ecbbf2.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-A92U-01A,Primary Tumor,TCGA-THYM,38254d56-64bf-4104-ad30-a4a6984148b8,dfdc47d1-fd94-4701-a14b-11f5550d9998.rna_seq.augmented_star_gene_counts.tsv
TCGA-4V-A9QI-01A,Primary Tumor,TCGA-THYM,6ab107f8-e910-4b6f-a452-73081f7cc832,e8ce79e7-167c-4e42-a706-69b7c70324dc.rna_seq.augmented_star_gene_counts.tsv
TCGA-XM-A8RG-01A,Primary Tumor,TCGA-THYM,699afa40-e446-4073-b40c-edf554d66b5e,41921eb9-0b20-45c9-b8a7-256e99799004.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-A933-01A,Primary Tumor,TCGA-THYM,c6795d00-3e2a-4421-ac73-364e58432a28,1c6d2529-e6a7-4e7e-a2aa-5e6867326eae.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-A930-01A,Primary Tumor,TCGA-THYM,071f4fd4-b339-4bfb-9da6-cfd4cab1d76a,b73a42c6-41af-4e5b-97bb-d311565a3c05.rna_seq.augmented_star_gene_counts.tsv
TCGA-3G-AB0O-01A,Primary Tumor,TCGA-THYM,b6174120-9bb1-4657-b882-0eda811cd465,c88e1320-92a3-4cac-a67b-817473dc7db9.rna_seq.augmented_star_gene_counts.tsv
TCGA-4V-A9QT-01A,Primary Tumor,TCGA-THYM,2a9e0a16-eb0a-4a77-a72d-cde50e2898d3,9cf5b181-e622-45b2-b5e2-a31fde9c2fcb.rna_seq.augmented_star_gene_counts.tsv
TCGA-4V-A9QJ-01A,Primary Tumor,TCGA-THYM,0e80c59e-08d9-4aad-bafd-aae24bf12dc5,7188ad19-07f3-4e04-b2a7-088884a8b53a.rna_seq.augmented_star_gene_counts.tsv
TCGA-4V-A9QS-01A,Primary Tumor,TCGA-THYM,2135d952-5ff0-4379-95f3-c5d262a7d4e9,09f1f099-b018-4992-bd04-2b5ad4de4cb0.rna_seq.augmented_star_gene_counts.tsv
TCGA-3G-AB19-01A,Primary Tumor,TCGA-THYM,b267fe18-0519-44e1-a424-f64409d2b157,abc6eaeb-5bdb-4903-9c20-e10c503fe353.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-A92O-01A,Primary Tumor,TCGA-THYM,b5644766-c9a2-446b-a807-0bd9f73197ab,96b939a9-9ad2-411a-ae16-d3368fb276de.rna_seq.augmented_star_gene_counts.tsv
TCGA-ZB-A96Q-01A,Primary Tumor,TCGA-THYM,e058a979-39dc-4048-97f3-224946be3c25,45dfffe4-053c-45eb-9831-0478a9a943c6.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-A92W-01A,Primary Tumor,TCGA-THYM,cfd38773-74d7-42c7-aac0-0de79d8002ee,94657d7b-e425-42e8-8cb8-2a14fe21ab84.rna_seq.augmented_star_gene_counts.tsv
TCGA-XU-A92X-01A,Primary Tumor,TCGA-THYM,e6cd26bc-4032-47a3-8dca-2efebfea4076,59118322-ee4e-4c7b-8e25-3e9108bf8e88.rna_seq.augmented_star_gene_counts.tsv
